"location,""location_type"",""country"",""state_province"",""district_county_municipality"",""city"",""alt_name1"",""alt_name2"""
"Alagoas,""state"",""Brazil"",""Alagoas"",NA,NA,""Alagoas"",NA"
"Bahia,""state"",""Brazil"",""Bahia"",NA,NA,""Bahia"",NA"
"Ceara,""state"",""Brazil"",""Ceara"",NA,NA,""Cear"",NA"
"Maranhao,""state"",""Brazil"",""Maranhao"",NA,NA,""Maranho"",NA"
"Paraiba,""state"",""Brazil"",""Paraiba"",NA,NA,""Paraba"",NA"
"Pernambuco,""state"",""Brazil"",""Pernambuco"",NA,NA,""Pernambuco"",NA"
"Piaui,""state"",""Brazil"",""Piaui"",NA,NA,""Piau"",NA"
"Rio Grande do Norte,""state"",""Brazil"",""Rio Grande do Norte"",NA,NA,""Rio Grande do Norte"",NA"
"Sergipe,""state"",""Brazil"",""Sergipe"",NA,NA,""Sergipe"",NA"
"Espirito Santo,""state"",""Brazil"",""Espirito Santo"",NA,NA,""Esprito Santo"",NA"
"Minas Gerais,""state"",""Brazil"",""Minas Gerais"",NA,NA,""Minas Gerais"",NA"
"Rio de Janeiro,""state"",""Brazil"",""Rio de Janeiro"",NA,NA,""Rio de Janeiro"",NA"
"Sao Paulo,""state"",""Brazil"",""Sao Paulo"",NA,NA,""So Paulo"",NA"
"Acre,""state"",""Brazil"",""Acre"",NA,NA,""Acre"",NA"
"Amapa,""state"",""Brazil"",""Amapa"",NA,NA,""Amap"",NA"
"Amazonas,""state"",""Brazil"",""Amazonas"",NA,NA,""Amazonas"",NA"
"Para,""state"",""Brazil"",""Para"",NA,NA,""Par"",NA"
"Rondonia,""state"",""Brazil"",""Rondonia"",NA,NA,""Rondnia"",NA"
"Roraima,""state"",""Brazil"",""Roraima"",NA,NA,""Roraima"",NA"
"Tocantins,""state"",""Brazil"",""Tocantins"",NA,NA,""Tocantins"",NA"
"Distrito Federal,""state"",""Brazil"",""Distrito Federal"",NA,NA,""Distrito Federal"",NA"
"Goias,""state"",""Brazil"",""Goias"",NA,NA,""Gois"",NA"
"Mato Grosso,""state"",""Brazil"",""Mato Grosso"",NA,NA,""Mato Grosso"",NA"
"Mato Grosso do Sul,""state"",""Brazil"",""Mato Grosso do Sul"",NA,NA,""Mato Grosso do Sul"",NA"
"Parana,""state"",""Brazil"",""Parana"",NA,NA,""Paran"",NA"
"Santa Catarina,""state"",""Brazil"",""Santa Catarina"",NA,NA,""Santa Catarina"",NA"
"Rio Grande do Sul,""state"",""Brazil"",""Rio Grande do Sul"",NA,NA,""Rio Grande do Sul"",NA"
"Norte,""region"",""Brazil"",NA,NA,NA,""Norte"",NA"
"Nordeste,""region"",""Brazil"",NA,NA,NA,""Nordeste"",NA"
"Sudeste,""region"",""Brazil"",NA,NA,NA,""Sudeste"",NA"
"Sul,""region"",""Brazil"",NA,NA,NA,""Sul"",NA"
"Centro-Oeste,""region"",""Brazil"",NA,NA,NA,""Centro-Oeste"",NA"
"Brazil,""country"",""Brazil"",NA,NA,NA,""Brazil"",NA"
