"report_date,""location"",""location_type"",""data_field"",""data_field_code"",""time_period"",""time_period_type"",""value"",""unit"""
"2016-04-23,""Acre"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""0"",""cases"""
"2016-04-23,""Alagoas"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""57"",""cases"""
"2016-04-23,""Amapa"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""4"",""cases"""
"2016-04-23,""Amazonas"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""4"",""cases"""
"2016-04-23,""Bahia"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""221"",""cases"""
"2016-04-23,""Ceara"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""84"",""cases"""
"2016-04-23,""Distrito Federal"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""4"",""cases"""
"2016-04-23,""Espirito Santo"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""7"",""cases"""
"2016-04-23,""Goias"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""9"",""cases"""
"2016-04-23,""Maranhao"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""99"",""cases"""
"2016-04-23,""Mato Grosso"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""15"",""cases"""
"2016-04-23,""Mato Grosso do Sul"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""2"",""cases"""
"2016-04-23,""Minas Gerais"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""2"",""cases"""
"2016-04-23,""Para"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""1"",""cases"""
"2016-04-23,""Paraiba"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""112"",""cases"""
"2016-04-23,""Parana"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""2"",""cases"""
"2016-04-23,""Pernambuco"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""334"",""cases"""
"2016-04-23,""Piaui"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""74"",""cases"""
"2016-04-23,""Rio Grande do Norte"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""86"",""cases"""
"2016-04-23,""Rio Grande do Sul"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""2"",""cases"""
"2016-04-23,""Rio de Janeiro"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""42"",""cases"""
"2016-04-23,""Rondonia"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""3"",""cases"""
"2016-04-23,""Roraima"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""0"",""cases"""
"2016-04-23,""Santa Catarina"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""0"",""cases"""
"2016-04-23,""Sergipe"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""31"",""cases"""
"2016-04-23,""Sao Paulo"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""0"",""cases"""
"2016-04-23,""Tocantins"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""3"",""cases"""
"2016-04-23,""Acre"",""state"",""microcephaly not"",""BR0003"",NA,NA,""17"",""cases"""
"2016-04-23,""Alagoas"",""state"",""microcephaly not"",""BR0003"",NA,NA,""140"",""cases"""
"2016-04-23,""Amapa"",""state"",""microcephaly not"",""BR0003"",NA,NA,""1"",""cases"""
"2016-04-23,""Amazonas"",""state"",""microcephaly not"",""BR0003"",NA,NA,""4"",""cases"""
"2016-04-23,""Bahia"",""state"",""microcephaly not"",""BR0003"",NA,NA,""175"",""cases"""
"2016-04-23,""Ceara"",""state"",""microcephaly not"",""BR0003"",NA,NA,""134"",""cases"""
"2016-04-23,""Distrito Federal"",""state"",""microcephaly not"",""BR0003"",NA,NA,""31"",""cases"""
"2016-04-23,""Espirito Santo"",""state"",""microcephaly not"",""BR0003"",NA,NA,""24"",""cases"""
"2016-04-23,""Goias"",""state"",""microcephaly not"",""BR0003"",NA,NA,""37"",""cases"""
"2016-04-23,""Maranhao"",""state"",""microcephaly not"",""BR0003"",NA,NA,""42"",""cases"""
