report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
2016-06-11,Acre,state,microcephaly confirmed,BR0002,NA,NA,0,cases
2016-06-11,Alagoas,state,microcephaly confirmed,BR0002,NA,NA,73,cases
2016-06-11,Amapa,state,microcephaly confirmed,BR0002,NA,NA,7,cases
2016-06-11,Amazonas,state,microcephaly confirmed,BR0002,NA,NA,6,cases
2016-06-11,Bahia,state,microcephaly confirmed,BR0002,NA,NA,254,cases
2016-06-11,Ceara,state,microcephaly confirmed,BR0002,NA,NA,122,cases
2016-06-11,Distrito Federal,state,microcephaly confirmed,BR0002,NA,NA,5,cases
2016-06-11,Espirito Santo,state,microcephaly confirmed,BR0002,NA,NA,12,cases
2016-06-11,Goias,state,microcephaly confirmed,BR0002,NA,NA,14,cases
2016-06-11,Maranhao,state,microcephaly confirmed,BR0002,NA,NA,130,cases
2016-06-11,Mato Grosso,state,microcephaly confirmed,BR0002,NA,NA,23,cases
2016-06-11,Mato Grosso do Sul,state,microcephaly confirmed,BR0002,NA,NA,2,cases
2016-06-11,Minas Gerais,state,microcephaly confirmed,BR0002,NA,NA,3,cases
2016-06-11,Para,state,microcephaly confirmed,BR0002,NA,NA,1,cases
2016-06-11,Paraiba,state,microcephaly confirmed,BR0002,NA,NA,139,cases
2016-06-11,Parana,state,microcephaly confirmed,BR0002,NA,NA,4,cases
2016-06-11,Pernambuco,state,microcephaly confirmed,BR0002,NA,NA,366,cases
2016-06-11,Piaui,state,microcephaly confirmed,BR0002,NA,NA,87,cases
2016-06-11,Rio Grande do Norte,state,microcephaly confirmed,BR0002,NA,NA,113,cases
2016-06-11,Rio Grande do Sul,state,microcephaly confirmed,BR0002,NA,NA,5,cases
2016-06-11,Rio de Janeiro,state,microcephaly confirmed,BR0002,NA,NA,70,cases
2016-06-11,Rondonia,state,microcephaly confirmed,BR0002,NA,NA,5,cases
2016-06-11,Roraima,state,microcephaly confirmed,BR0002,NA,NA,10,cases
2016-06-11,Santa Catarina,state,microcephaly confirmed,BR0002,NA,NA,1,cases
2016-06-11,Sergipe,state,microcephaly confirmed,BR0002,NA,NA,110,cases
2016-06-11,Sao Paulo,state,microcephaly confirmed,BR0002,NA,NA,8,cases
2016-06-11,Tocantins,state,microcephaly confirmed,BR0002,NA,NA,11,cases
2016-06-11,Acre,state,microcephaly not,BR0003,NA,NA,17,cases
2016-06-11,Alagoas,state,microcephaly not,BR0003,NA,NA,173,cases
2016-06-11,Amapa,state,microcephaly not,BR0003,NA,NA,3,cases
2016-06-11,Amazonas,state,microcephaly not,BR0003,NA,NA,5,cases
2016-06-11,Bahia,state,microcephaly not,BR0003,NA,NA,214,cases
2016-06-11,Ceara,state,microcephaly not,BR0003,NA,NA,205,cases
2016-06-11,Distrito Federal,state,microcephaly not,BR0003,NA,NA,36,cases
2016-06-11,Espirito Santo,state,microcephaly not,BR0003,NA,NA,49,cases
2016-06-11,Goias,state,microcephaly not,BR0003,NA,NA,67,cases
2016-06-11,Maranhao,state,microcephaly not,BR0003,NA,NA,56,cases
2016-06-11,Mato Grosso,state,microcephaly not,BR0003,NA,NA,118,cases
2016-06-11,Mato Grosso do Sul,state,microcephaly not,BR0003,NA,NA,14,cases
2016-06-11,Minas Gerais,state,microcephaly not,BR0003,NA,NA,55,cases
