report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
2016-06-11,Norte,region,zika reported,BR0011,NA,NA,10645,cases
2016-06-11,Rondonia,state,zika reported,BR0011,NA,NA,898,cases
2016-06-11,Acre,state,zika reported,BR0011,NA,NA,846,cases
2016-06-11,Amazonas,state,zika reported,BR0011,NA,NA,3713,cases
2016-06-11,Roraima,state,zika reported,BR0011,NA,NA,83,cases
2016-06-11,Para,state,zika reported,BR0011,NA,NA,2121,cases
2016-06-11,Amapa,state,zika reported,BR0011,NA,NA,189,cases
2016-06-11,Tocantins,state,zika reported,BR0011,NA,NA,2795,cases
2016-06-11,Nordeste,region,zika reported,BR0011,NA,NA,61829,cases
2016-06-11,Maranhao,state,zika reported,BR0011,NA,NA,2840,cases
2016-06-11,Piaui,state,zika reported,BR0011,NA,NA,241,cases
2016-06-11,Ceara,state,zika reported,BR0011,NA,NA,2358,cases
2016-06-11,Rio Grande do Norte,state,zika reported,BR0011,NA,NA,2342,cases
2016-06-11,Paraiba,state,zika reported,BR0011,NA,NA,2889,cases
2016-06-11,Pernambuco,state,zika reported,BR0011,NA,NA,394,cases
2016-06-11,Alagoas,state,zika reported,BR0011,NA,NA,3847,cases
2016-06-11,Sergipe,state,zika reported,BR0011,NA,NA,491,cases
2016-06-11,Bahia,state,zika reported,BR0011,NA,NA,46427,cases
2016-06-11,Sudeste,region,zika reported,BR0011,NA,NA,65820,cases
2016-06-11,Minas Gerais,state,zika reported,BR0011,NA,NA,12891,cases
2016-06-11,Espirito Santo,state,zika reported,BR0011,NA,NA,2166,cases
2016-06-11,Rio de Janeiro,state,zika reported,BR0011,NA,NA,46027,cases
2016-06-11,Sao Paulo,state,zika reported,BR0011,NA,NA,4736,cases
2016-06-11,Sul,region,zika reported,BR0011,NA,NA,2392,cases
2016-06-11,Parana,state,zika reported,BR0011,NA,NA,1935,cases
2016-06-11,Santa Catarina,state,zika reported,BR0011,NA,NA,97,cases
2016-06-11,Rio Grande do Sul,state,zika reported,BR0011,NA,NA,360,cases
2016-06-11,Centro-Oeste,region,zika reported,BR0011,NA,NA,25246,cases
2016-06-11,Mato Grosso do Sul,state,zika reported,BR0011,NA,NA,762,cases
2016-06-11,Mato Grosso,state,zika reported,BR0011,NA,NA,19985,cases
2016-06-11,Goias,state,zika reported,BR0011,NA,NA,4132,cases
2016-06-11,Distrito Federal,state,zika reported,BR0011,NA,NA,367,cases
2016-06-11,Brazil,country,zika reported,BR0011,NA,NA,165932,cases
