"report date,""location"",""location type"",""data field"",""data field code"",""time period"",""time period type"",""value"",""unit"""
2016-02-13,Acre,state,microcephaly under investigation,BR0001,,,22,cases
2016-02-13,Alagoas,state,microcephaly under investigation,BR0001,,,90,cases
2016-02-13,Amapa,state,microcephaly under investigation,BR0001,,,NA,cases
2016-02-13,Amazonas,state,microcephaly under investigation,BR0001,,,NA,cases
2016-02-13,Bahia,state,microcephaly under investigation,BR0001,,,583,cases
2016-02-13,Ceara,state,microcephaly under investigation,BR0001,,,243,cases
2016-02-13,Distrito Federal,state,microcephaly under investigation,BR0001,,,6,cases
2016-02-13,Espirito Santo,state,microcephaly under investigation,BR0001,,,58,cases
2016-02-13,Goias,state,microcephaly under investigation,BR0001,,,72,cases
2016-02-13,Maranhao,state,microcephaly under investigation,BR0001,,,159,cases
2016-02-13,Mato Grosso,state,microcephaly under investigation,BR0001,,,122,cases
2016-02-13,Mato Grosso do Sul,state,microcephaly under investigation,BR0001,,,5,cases
2016-02-13,Minas Gerais,state,microcephaly under investigation,BR0001,,,24,cases
2016-02-13,Para,state,microcephaly under investigation,BR0001,,,10,cases
2016-02-13,Paraiba,state,microcephaly under investigation,BR0001,,,423,cases
2016-02-13,Parana,state,microcephaly under investigation,BR0001,,,1,cases
2016-02-13,Pernambuco,state,microcephaly under investigation,BR0001,,,1203,cases
2016-02-13,Piaui,state,microcephaly under investigation,BR0001,,,74,cases
2016-02-13,Rio Grande do Norte,state,microcephaly under investigation,BR0001,,,228,cases
2016-02-13,Rio Grande do Sul,state,microcephaly under investigation,BR0001,,,0,cases
2016-02-13,Rio de Janeiro,state,microcephaly under investigation,BR0001,,,227,cases
2016-02-13,Rondonia,state,microcephaly under investigation,BR0001,,,1,cases
2016-02-13,Roraima,state,microcephaly under investigation,BR0001,,,8,cases
2016-02-13,Santa Catarina,state,microcephaly under investigation,BR0001,,,0,cases
2016-02-13,Sergipe,state,microcephaly under investigation,BR0001,,,177,cases
2016-02-13,Sao Paulo,state,microcephaly under investigation,BR0001,,,111,cases
2016-02-13,Tocantins,state,microcephaly under investigation,BR0001,,,88,cases
2016-02-13,Acre,state,microcephaly confirmed,BR0002,,,0,cases
2016-02-13,Alagoas,state,microcephaly confirmed,BR0002,,,25,cases
2016-02-13,Amapa,state,microcephaly confirmed,BR0002,,,NA,cases
2016-02-13,Amazonas,state,microcephaly confirmed,BR0002,,,NA,cases
2016-02-13,Bahia,state,microcephaly confirmed,BR0002,,,107,cases
2016-02-13,Ceara,state,microcephaly confirmed,BR0002,,,24,cases
2016-02-13,Distrito Federal,state,microcephaly confirmed,BR0002,,,0,cases
2016-02-13,Espirito Santo,state,microcephaly confirmed,BR0002,,,3,cases
2016-02-13,Goias,state,microcephaly confirmed,BR0002,,,6,cases
2016-02-13,Maranhao,state,microcephaly confirmed,BR0002,,,0,cases
2016-02-13,Mato Grosso,state,microcephaly confirmed,BR0002,,,0,cases
2016-02-13,Mato Grosso do Sul,state,microcephaly confirmed,BR0002,,,1,cases
2016-02-13,Minas Gerais,state,microcephaly confirmed,BR0002,,,0,cases
2016-02-13,Para,state,microcephaly confirmed,BR0002,,,1,cases
2016-02-13,Paraiba,state,microcephaly confirmed,BR0002,,,56,cases
2016-02-13,Parana,state,microcephaly confirmed,BR0002,,,0,cases
2016-02-13,Pernambuco,state,microcephaly confirmed,BR0002,,,182,cases
2016-02-13,Piaui,state,microcephaly confirmed,BR0002,,,30,cases
2016-02-13,Rio Grande do Norte,state,microcephaly confirmed,BR0002,,,70,cases
2016-02-13,Rio Grande do Sul,state,microcephaly confirmed,BR0002,,,1,cases
2016-02-13,Rio de Janeiro,state,microcephaly confirmed,BR0002,,,2,cases
