"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","value","unit"
2016-02-13,Brazil-Acre,state,microcephaly_under_investigation,BR0001,,,22,cases
2016-02-13,Brazil-Alagoas,state,microcephaly_under_investigation,BR0001,,,90,cases
2016-02-13,Brazil-Amapa,state,microcephaly_under_investigation,BR0001,,,NA,cases
2016-02-13,Brazil-Amazonas,state,microcephaly_under_investigation,BR0001,,,NA,cases
2016-02-13,Brazil-Bahia,state,microcephaly_under_investigation,BR0001,,,583,cases
2016-02-13,Brazil-Ceara,state,microcephaly_under_investigation,BR0001,,,243,cases
2016-02-13,Brazil-Distrito_Federal,state,microcephaly_under_investigation,BR0001,,,6,cases
2016-02-13,Brazil-Espirito_Santo,state,microcephaly_under_investigation,BR0001,,,58,cases
2016-02-13,Brazil-Goias,state,microcephaly_under_investigation,BR0001,,,72,cases
2016-02-13,Brazil-Maranhao,state,microcephaly_under_investigation,BR0001,,,159,cases
2016-02-13,Brazil-Mato_Grosso,state,microcephaly_under_investigation,BR0001,,,122,cases
2016-02-13,Brazil-Mato_Grosso_do_Sul,state,microcephaly_under_investigation,BR0001,,,5,cases
2016-02-13,Brazil-Minas_Gerais,state,microcephaly_under_investigation,BR0001,,,24,cases
2016-02-13,Brazil-Para,state,microcephaly_under_investigation,BR0001,,,10,cases
2016-02-13,Brazil-Paraiba,state,microcephaly_under_investigation,BR0001,,,423,cases
2016-02-13,Brazil-Parana,state,microcephaly_under_investigation,BR0001,,,1,cases
2016-02-13,Brazil-Pernambuco,state,microcephaly_under_investigation,BR0001,,,1203,cases
2016-02-13,Brazil-Piaui,state,microcephaly_under_investigation,BR0001,,,74,cases
2016-02-13,Brazil-Rio_Grande_do_Norte,state,microcephaly_under_investigation,BR0001,,,228,cases
2016-02-13,Brazil-Rio_Grande_do_Sul,state,microcephaly_under_investigation,BR0001,,,0,cases
2016-02-13,Brazil-Rio_de_Janeiro,state,microcephaly_under_investigation,BR0001,,,227,cases
2016-02-13,Brazil-Rondonia,state,microcephaly_under_investigation,BR0001,,,1,cases
2016-02-13,Brazil-Roraima,state,microcephaly_under_investigation,BR0001,,,8,cases
2016-02-13,Brazil-Santa_Catarina,state,microcephaly_under_investigation,BR0001,,,0,cases
2016-02-13,Brazil-Sergipe,state,microcephaly_under_investigation,BR0001,,,177,cases
2016-02-13,Brazil-Sao_Paulo,state,microcephaly_under_investigation,BR0001,,,111,cases
2016-02-13,Brazil-Tocantins,state,microcephaly_under_investigation,BR0001,,,88,cases
2016-02-13,Brazil-Acre,state,microcephaly_confirmed,BR0002,,,0,cases
2016-02-13,Brazil-Alagoas,state,microcephaly_confirmed,BR0002,,,25,cases
2016-02-13,Brazil-Amapa,state,microcephaly_confirmed,BR0002,,,NA,cases
2016-02-13,Brazil-Amazonas,state,microcephaly_confirmed,BR0002,,,NA,cases
2016-02-13,Brazil-Bahia,state,microcephaly_confirmed,BR0002,,,107,cases
2016-02-13,Brazil-Ceara,state,microcephaly_confirmed,BR0002,,,24,cases
2016-02-13,Brazil-Distrito_Federal,state,microcephaly_confirmed,BR0002,,,0,cases
2016-02-13,Brazil-Espirito_Santo,state,microcephaly_confirmed,BR0002,,,3,cases
2016-02-13,Brazil-Goias,state,microcephaly_confirmed,BR0002,,,6,cases
2016-02-13,Brazil-Maranhao,state,microcephaly_confirmed,BR0002,,,0,cases
2016-02-13,Brazil-Mato_Grosso,state,microcephaly_confirmed,BR0002,,,0,cases
2016-02-13,Brazil-Mato_Grosso_do_Sul,state,microcephaly_confirmed,BR0002,,,1,cases
2016-02-13,Brazil-Minas_Gerais,state,microcephaly_confirmed,BR0002,,,0,cases
2016-02-13,Brazil-Para,state,microcephaly_confirmed,BR0002,,,1,cases
2016-02-13,Brazil-Paraiba,state,microcephaly_confirmed,BR0002,,,56,cases
2016-02-13,Brazil-Parana,state,microcephaly_confirmed,BR0002,,,0,cases
2016-02-13,Brazil-Pernambuco,state,microcephaly_confirmed,BR0002,,,182,cases
2016-02-13,Brazil-Piaui,state,microcephaly_confirmed,BR0002,,,30,cases
2016-02-13,Brazil-Rio_Grande_do_Norte,state,microcephaly_confirmed,BR0002,,,70,cases
2016-02-13,Brazil-Rio_Grande_do_Sul,state,microcephaly_confirmed,BR0002,,,1,cases
2016-02-13,Brazil-Rio_de_Janeiro,state,microcephaly_confirmed,BR0002,,,2,cases
2016-02-13,Brazil-Rondonia,state,microcephaly_confirmed,BR0002,,,0,cases
2016-02-13,Brazil-Roraima,state,microcephaly_confirmed,BR0002,,,0,cases
2016-02-13,Brazil-Santa_Catarina,state,microcephaly_confirmed,BR0002,,,0,cases
2016-02-13,Brazil-Sergipe,state,microcephaly_confirmed,BR0002,,,0,cases
2016-02-13,Brazil-Sao_Paulo,state,microcephaly_confirmed,BR0002,,,0,cases
2016-02-13,Brazil-Tocantins,state,microcephaly_confirmed,BR0002,,,0,cases
2016-02-13,Brazil-Acre,state,microcephaly_not,BR0003,,,0,cases
2016-02-13,Brazil-Alagoas,state,microcephaly_not,BR0003,,,89,cases
2016-02-13,Brazil-Amapa,state,microcephaly_not,BR0003,,,NA,cases
2016-02-13,Brazil-Amazonas,state,microcephaly_not,BR0003,,,NA,cases
2016-02-13,Brazil-Bahia,state,microcephaly_not,BR0003,,,54,cases
2016-02-13,Brazil-Ceara,state,microcephaly_not,BR0003,,,20,cases
2016-02-13,Brazil-Distrito_Federal,state,microcephaly_not,BR0003,,,17,cases
2016-02-13,Brazil-Espirito_Santo,state,microcephaly_not,BR0003,,,3,cases
2016-02-13,Brazil-Goias,state,microcephaly_not,BR0003,,,2,cases
2016-02-13,Brazil-Maranhao,state,microcephaly_not,BR0003,,,16,cases
2016-02-13,Brazil-Mato_Grosso,state,microcephaly_not,BR0003,,,46,cases
2016-02-13,Brazil-Mato_Grosso_do_Sul,state,microcephaly_not,BR0003,,,5,cases
2016-02-13,Brazil-Minas_Gerais,state,microcephaly_not,BR0003,,,39,cases
2016-02-13,Brazil-Para,state,microcephaly_not,BR0003,,,0,cases
2016-02-13,Brazil-Paraiba,state,microcephaly_not,BR0003,,,287,cases
2016-02-13,Brazil-Parana,state,microcephaly_not,BR0003,,,9,cases
2016-02-13,Brazil-Pernambuco,state,microcephaly_not,BR0003,,,159,cases
2016-02-13,Brazil-Piaui,state,microcephaly_not,BR0003,,,12,cases
2016-02-13,Brazil-Rio_Grande_do_Norte,state,microcephaly_not,BR0003,,,20,cases
2016-02-13,Brazil-Rio_Grande_do_Sul,state,microcephaly_not,BR0003,,,0,cases
2016-02-13,Brazil-Rio_de_Janeiro,state,microcephaly_not,BR0003,,,4,cases
2016-02-13,Brazil-Rondonia,state,microcephaly_not,BR0003,,,0,cases
2016-02-13,Brazil-Roraima,state,microcephaly_not,BR0003,,,0,cases
2016-02-13,Brazil-Santa_Catarina,state,microcephaly_not,BR0003,,,1,cases
2016-02-13,Brazil-Sergipe,state,microcephaly_not,BR0003,,,8,cases
2016-02-13,Brazil-Sao_Paulo,state,microcephaly_not,BR0003,,,29,cases
2016-02-13,Brazil-Tocantins,state,microcephaly_not,BR0003,,,17,cases
2016-02-13,Brazil-Alagoas,state,municipality_microcephaly,BR0004,,,14,municipalities
2016-02-13,Brazil-Bahia,state,municipality_microcephaly,BR0004,,,26,municipalities
2016-02-13,Brazil-Ceara,state,municipality_microcephaly,BR0004,,,15,municipalities
2016-02-13,Brazil-Espirito_Santo,state,municipality_microcephaly,BR0004,,,3,municipalities
2016-02-13,Brazil-Goias,state,municipality_microcephaly,BR0004,,,5,municipalities
2016-02-13,Brazil-Mato_Grosso_do_Sul,state,municipality_microcephaly,BR0004,,,1,municipalities
2016-02-13,Brazil-Para,state,municipality_microcephaly,BR0004,,,1,municipalities
2016-02-13,Brazil-Paraiba,state,municipality_microcephaly,BR0004,,,27,municipalities
2016-02-13,Brazil-Pernambuco,state,municipality_microcephaly,BR0004,,,65,municipalities
2016-02-13,Brazil-Piaui,state,municipality_microcephaly,BR0004,,,9,municipalities
2016-02-13,Brazil-Rio_Grande_do_Norte,state,municipality_microcephaly,BR0004,,,34,municipalities
2016-02-13,Brazil-Rio_Grande_do_Sul,state,municipality_microcephaly,BR0004,,,1,municipalities
2016-02-13,Brazil-Rio_de_Janeiro,state,municipality_microcephaly,BR0004,,,2,municipalities
2016-02-13,Brazil-Acre,state,microcephaly_fatal_under_investigation,BR0005,,,1,cases
2016-02-13,Brazil-Alagoas,state,microcephaly_fatal_under_investigation,BR0005,,,2,cases
2016-02-13,Brazil-Bahia,state,microcephaly_fatal_under_investigation,BR0005,,,18,cases
2016-02-13,Brazil-Ceara,state,microcephaly_fatal_under_investigation,BR0005,,,3,cases
2016-02-13,Brazil-Goias,state,microcephaly_fatal_under_investigation,BR0005,,,1,cases
2016-02-13,Brazil-Maranhao,state,microcephaly_fatal_under_investigation,BR0005,,,1,cases
2016-02-13,Brazil-Mato_Grosso,state,microcephaly_fatal_under_investigation,BR0005,,,3,cases
